run_id,ticker,strategy_id,block_label,lookback_days,cadence_run,share_count,max_concurrent,data_source,fill_model,data_window_start,data_window_end,cadence_leg,chain_id,chain_position,is_initial_entry,leg_index_in_chain,entry_date,spot_at_entry,strike,expiry_date,dte_at_entry,distance_pct_otm,mid_entry,premium_collected_per_contract,iv_at_entry,delta_at_entry,ann_yield_pct,regime_at_entry,close_date,buyback_mid,expiry_close,outcome,exit_type,days_held,pnl_dollar,pnl_per_share,is_winning,capped_upside_dollar,is_assignment_severe
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,be4c20dc0b1e,2,FALSE,2,2023-07-18,454.19,464.00,2023-08-18,31,2.160,2.5550,255.50,10.27,0.2895,6.62,UNKNOWN,2023-07-27,1.2550,,closed_early_50pct,early,9,130.00,1.3000,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,c7e436908daa,0,TRUE,0,2023-08-02,450.13,460.00,2023-09-01,30,2.193,3.1800,318.00,12.22,0.3168,8.60,SELL PREMIUM,2023-08-09,1.3550,,closed_early_50pct,early,7,182.50,1.8250,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,04c7ae9f0264,0,TRUE,0,2023-08-02,450.13,460.00,2023-09-01,30,2.193,3.1800,318.00,12.22,0.3168,8.60,SELL PREMIUM,2023-08-09,1.3550,,closed_early_50pct,early,7,182.50,1.8250,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,03fdbeadbf27,0,TRUE,0,2023-08-09,445.75,456.00,2023-09-08,30,2.299,3.1800,318.00,12.22,0.3063,8.68,SELL PREMIUM,2023-08-16,0.9650,,closed_early_50pct,early,7,221.50,2.2150,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,90f7e673b31f,0,TRUE,0,2023-08-09,445.75,456.00,2023-09-08,30,2.299,3.1800,318.00,12.22,0.3063,8.68,SELL PREMIUM,2023-08-16,0.9650,,closed_early_50pct,early,7,221.50,2.2150,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,65b3425f0c19,0,TRUE,0,2023-08-16,439.64,450.00,2023-09-15,30,2.356,3.1750,317.50,13.20,0.3153,8.79,SELL PREMIUM,2023-08-24,1.2900,,closed_early_50pct,early,8,188.50,1.8850,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,3aa2d72f6178,0,TRUE,0,2023-08-16,439.64,450.00,2023-09-15,30,2.356,3.1750,317.50,13.20,0.3153,8.79,SELL PREMIUM,2023-08-24,1.2900,,closed_early_50pct,early,8,188.50,1.8850,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,b71c616e15bf,0,TRUE,0,2023-08-30,451.01,459.00,2023-09-29,30,1.772,2.5700,257.00,9.29,0.3151,6.93,SELL PREMIUM,2023-09-06,0.7650,,closed_early_50pct,early,7,180.50,1.8050,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,1f7aba0e191f,0,TRUE,0,2023-08-30,451.01,459.00,2023-09-29,30,1.772,2.5700,257.00,9.29,0.3151,6.93,SELL PREMIUM,2023-09-06,0.7650,,closed_early_50pct,early,7,180.50,1.8050,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,416c2a7484d3,0,TRUE,0,2023-09-07,444.85,455.00,2023-10-13,36,2.282,2.6200,262.00,10.27,0.3014,5.97,SELL PREMIUM,2023-09-19,1.3050,,closed_early_50pct,early,12,131.50,1.3150,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,4a55838b68b3,0,TRUE,0,2023-09-07,444.85,455.00,2023-10-13,36,2.282,2.6200,262.00,10.27,0.3014,5.97,SELL PREMIUM,2023-09-19,1.3050,,closed_early_50pct,early,12,131.50,1.3150,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,7baa9085a573,0,TRUE,0,2023-09-21,431.39,443.00,2023-10-27,36,2.691,3.5350,353.50,13.20,0.3109,8.31,SELL PREMIUM,2023-10-02,1.5200,,closed_early_50pct,early,11,201.50,2.0150,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,faba89a14bd8,0,TRUE,0,2023-09-21,431.39,443.00,2023-10-27,36,2.691,3.5350,353.50,13.20,0.3109,8.31,SELL PREMIUM,2023-10-02,1.5200,,closed_early_50pct,early,11,201.50,2.0150,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,4ef9d4736e64,0,TRUE,0,2023-10-05,424.50,437.00,2023-11-10,36,2.945,3.7650,376.50,14.17,0.3044,8.99,SELL PREMIUM,2023-10-20,1.5800,,closed_early_50pct,early,15,218.50,2.1850,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,3cb9603c4e9f,0,TRUE,0,2023-10-05,424.50,437.00,2023-11-10,36,2.945,3.7650,376.50,14.17,0.3044,8.99,SELL PREMIUM,2023-10-20,1.5800,,closed_early_50pct,early,15,218.50,2.1850,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,959477e2c03b,0,TRUE,0,2023-10-26,412.55,426.00,2023-12-01,36,3.260,4.2600,426.00,17.10,0.3182,10.47,HOLD,2023-11-02,10.6350,,rolled_up_and_out,early,7,-637.50,-6.3750,FALSE,0.00,FALSE
